1,Qatar,Qatar,A1,A,1
2,Ecuador,Ecuador,A2,A,2
3,Senegal,Senegal,A3,A,3
4,Netherlands,Paises Bajos,A4,A,4
5,England,Inglaterra,B1,B,1
6,Iran,Iran,B2,B,2
7,USA,USA,B3,B,3
8,Wales,Gales,B4,B,4
9,Argentina,Argentina,C1,C,1
10,Saudi Arabia,Arabia Saudita,C2,C,2
11,Mexico,Mexico,C3,C,3
12,Poland,Polonia,C4,C,4
13,Denmark,Dinamarca,D1,D,1
14,Tunisia,Tunez,D2,D,2
15,France,Francia,D3,D,3
16,Australia,Australia,D4,D,4
17,Germany,Alemania,E1,E,1
18,Japan,Japon,E2,E,2
19,Spain,Espa–a,E3,E,3
20,Costa Rica,Costa Rica,E4,E,4
21,Belgium,Belgica,F1,F,1
22,Canada,Canada,F2,F,2
23,Morocco,Marruecos,F3,F,3
24,Croatia,Croacia,F4,F,4
25,Brazil,Brasil,G1,G,1
26,Serbia,Serbia,G2,G,2
27,Switzerland,Suiza,G3,G,3
28,Cameroon,Camerun,G4,G,4
29,Portugal,Portugal,H1,H,1
30,Ghana,Ghana,H2,H,2
31,Uruguay,Uruguay,H3,H,3
32,Korea Republic,Corea del Sur,H4,H,4
